Category,Industry,Profession,Occupation,Race,Employed,Percent
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,White,276,0.23
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",White,250,0.21
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,White,1676,1.41
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,White,1064,0.89
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Pest control workers,White,81,0.07
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,White,1094,0.92
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,Black,52,0.28
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Black,21,0.11
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,Black,412,2.19
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,Black,256,1.36
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Pest control workers,Black,8,0.04
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Black,104,0.55
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,Asian,11,0.11
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Asian,3,0.03
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,Asian,77,0.78
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,Asian,60,0.61
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Pest control workers,Asian,1,0.01
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Asian,11,0.11
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,Hispanic,96,0.36
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Hispanic,80,0.3
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,Hispanic,715,2.65
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,Hispanic,725,2.68
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Pest control workers,Hispanic,17,0.06
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Hispanic,555,2.05
Natural resources and construction,Construction,Construction and extraction occupations,Boilermakers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Brickmasons, blockmasons, and stonemasons",White,139,0.12
Natural resources and construction,Construction,Construction and extraction occupations,Carpenters,White,1151,0.97
Natural resources and construction,Construction,Construction and extraction occupations,"Carpet, floor, and tile installers and finishers",White,154,0.13
Natural resources and construction,Construction,Construction and extraction occupations,"Cement masons, concrete finishers, and terrazzo workers",White,58,0.05
Natural resources and construction,Construction,Construction and extraction occupations,Construction laborers,White,1749,1.47
Natural resources and construction,Construction,Construction and extraction occupations,"Paving, surfacing, and tamping equipment operators",White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Pile-driver operators,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Operating engineers and other construction equipment operators,White,319,0.27
Natural resources and construction,Construction,Construction and extraction occupations,"Drywall installers, ceiling tile installers, and tapers",White,162,0.14
Natural resources and construction,Construction,Construction and extraction occupations,Electricians,White,798,0.67
Natural resources and construction,Construction,Construction and extraction occupations,Glaziers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Insulation workers,White,54,0.05
Natural resources and construction,Construction,Construction and extraction occupations,"Painters, construction and maintenance",White,523,0.44
Natural resources and construction,Construction,Construction and extraction occupations,Paperhangers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Pipelayers, plumbers, pipefitters, and steamfitters",White,554,0.46
Natural resources and construction,Construction,Construction and extraction occupations,Plasterers and stucco masons,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Reinforcing iron and rebar workers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Roofers,White,194,0.16
Natural resources and construction,Construction,Construction and extraction occupations,Sheet metal workers,White,124,0.1
Natural resources and construction,Construction,Construction and extraction occupations,Structural iron and steel workers,White,49,0.04
Natural resources and construction,Construction,Construction and extraction occupations,Solar photovoltaic installers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Helpers, construction trades",White,43,0.04
Natural resources and construction,Construction,Construction and extraction occupations,Construction and building inspectors,White,86,0.07
Natural resources and construction,Construction,Construction and extraction occupations,Elevator installers and repairers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Fence erectors,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Hazardous materials removal workers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Highway maintenance workers,White,94,0.08
Natural resources and construction,Construction,Construction and extraction occupations,Rail-track laying and maintenance equipment operators,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Septic tank servicers and sewer pipe cleaners,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Miscellaneous construction and related workers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",White,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Earth drillers, except oil and gas",White,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Explosives workers, ordnance handling experts, and blasters",White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Mining machine operators,White,47,0.04
Natural resources and construction,Construction,Construction and extraction occupations,"Roof bolters, mining",White,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Roustabouts, oil and gas",White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Helpers--extraction workers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Other extraction workers,White,,0
Natural resources and construction,Construction,Construction and extraction occupations,Boilermakers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Brickmasons, blockmasons, and stonemasons",Black,7,0.04
Natural resources and construction,Construction,Construction and extraction occupations,Carpenters,Black,65,0.35
Natural resources and construction,Construction,Construction and extraction occupations,"Carpet, floor, and tile installers and finishers",Black,8,0.04
Natural resources and construction,Construction,Construction and extraction occupations,"Cement masons, concrete finishers, and terrazzo workers",Black,2,0.01
Natural resources and construction,Construction,Construction and extraction occupations,Construction laborers,Black,176,0.94
Natural resources and construction,Construction,Construction and extraction occupations,"Paving, surfacing, and tamping equipment operators",Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Pile-driver operators,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Operating engineers and other construction equipment operators,Black,33,0.18
Natural resources and construction,Construction,Construction and extraction occupations,"Drywall installers, ceiling tile installers, and tapers",Black,4,0.02
Natural resources and construction,Construction,Construction and extraction occupations,Electricians,Black,62,0.33
Natural resources and construction,Construction,Construction and extraction occupations,Glaziers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Insulation workers,Black,3,0.02
Natural resources and construction,Construction,Construction and extraction occupations,"Painters, construction and maintenance",Black,48,0.26
Natural resources and construction,Construction,Construction and extraction occupations,Paperhangers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Pipelayers, plumbers, pipefitters, and steamfitters",Black,53,0.28
Natural resources and construction,Construction,Construction and extraction occupations,Plasterers and stucco masons,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Reinforcing iron and rebar workers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Roofers,Black,11,0.06
Natural resources and construction,Construction,Construction and extraction occupations,Sheet metal workers,Black,9,0.05
Natural resources and construction,Construction,Construction and extraction occupations,Structural iron and steel workers,Black,7,0.04
Natural resources and construction,Construction,Construction and extraction occupations,Solar photovoltaic installers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Helpers, construction trades",Black,1,0.01
Natural resources and construction,Construction,Construction and extraction occupations,Construction and building inspectors,Black,8,0.04
Natural resources and construction,Construction,Construction and extraction occupations,Elevator installers and repairers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Fence erectors,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Hazardous materials removal workers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Highway maintenance workers,Black,14,0.07
Natural resources and construction,Construction,Construction and extraction occupations,Rail-track laying and maintenance equipment operators,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Septic tank servicers and sewer pipe cleaners,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Miscellaneous construction and related workers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Earth drillers, except oil and gas",Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Explosives workers, ordnance handling experts, and blasters",Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Mining machine operators,Black,5,0.03
Natural resources and construction,Construction,Construction and extraction occupations,"Roof bolters, mining",Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Roustabouts, oil and gas",Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Helpers--extraction workers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Other extraction workers,Black,,0
Natural resources and construction,Construction,Construction and extraction occupations,Boilermakers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Brickmasons, blockmasons, and stonemasons",Asian,1,0.01
Natural resources and construction,Construction,Construction and extraction occupations,Carpenters,Asian,19,0.19
Natural resources and construction,Construction,Construction and extraction occupations,"Carpet, floor, and tile installers and finishers",Asian,0,0
Natural resources and construction,Construction,Construction and extraction occupations,"Cement masons, concrete finishers, and terrazzo workers",Asian,0,0
Natural resources and construction,Construction,Construction and extraction occupations,Construction laborers,Asian,32,0.33
Natural resources and construction,Construction,Construction and extraction occupations,"Paving, surfacing, and tamping equipment operators",Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Pile-driver operators,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Operating engineers and other construction equipment operators,Asian,3,0.03
Natural resources and construction,Construction,Construction and extraction occupations,"Drywall installers, ceiling tile installers, and tapers",Asian,3,0.03
Natural resources and construction,Construction,Construction and extraction occupations,Electricians,Asian,23,0.23
Natural resources and construction,Construction,Construction and extraction occupations,Glaziers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Insulation workers,Asian,0,0
Natural resources and construction,Construction,Construction and extraction occupations,"Painters, construction and maintenance",Asian,3,0.03
Natural resources and construction,Construction,Construction and extraction occupations,Paperhangers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Pipelayers, plumbers, pipefitters, and steamfitters",Asian,5,0.05
Natural resources and construction,Construction,Construction and extraction occupations,Plasterers and stucco masons,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Reinforcing iron and rebar workers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Roofers,Asian,1,0.01
Natural resources and construction,Construction,Construction and extraction occupations,Sheet metal workers,Asian,3,0.03
Natural resources and construction,Construction,Construction and extraction occupations,Structural iron and steel workers,Asian,5,0.05
Natural resources and construction,Construction,Construction and extraction occupations,Solar photovoltaic installers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Helpers, construction trades",Asian,2,0.02
Natural resources and construction,Construction,Construction and extraction occupations,Construction and building inspectors,Asian,7,0.07
Natural resources and construction,Construction,Construction and extraction occupations,Elevator installers and repairers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Fence erectors,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Hazardous materials removal workers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Highway maintenance workers,Asian,0,0
Natural resources and construction,Construction,Construction and extraction occupations,Rail-track laying and maintenance equipment operators,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Septic tank servicers and sewer pipe cleaners,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Miscellaneous construction and related workers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Earth drillers, except oil and gas",Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Explosives workers, ordnance handling experts, and blasters",Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Mining machine operators,Asian,0,0
Natural resources and construction,Construction,Construction and extraction occupations,"Roof bolters, mining",Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Roustabouts, oil and gas",Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Helpers--extraction workers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Other extraction workers,Asian,,0
Natural resources and construction,Construction,Construction and extraction occupations,Boilermakers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Brickmasons, blockmasons, and stonemasons",Hispanic,57,0.21
Natural resources and construction,Construction,Construction and extraction occupations,Carpenters,Hispanic,481,1.78
Natural resources and construction,Construction,Construction and extraction occupations,"Carpet, floor, and tile installers and finishers",Hispanic,101,0.37
Natural resources and construction,Construction,Construction and extraction occupations,"Cement masons, concrete finishers, and terrazzo workers",Hispanic,34,0.13
Natural resources and construction,Construction,Construction and extraction occupations,Construction laborers,Hispanic,957,3.54
Natural resources and construction,Construction,Construction and extraction occupations,"Paving, surfacing, and tamping equipment operators",Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Pile-driver operators,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Operating engineers and other construction equipment operators,Hispanic,55,0.2
Natural resources and construction,Construction,Construction and extraction occupations,"Drywall installers, ceiling tile installers, and tapers",Hispanic,120,0.44
Natural resources and construction,Construction,Construction and extraction occupations,Electricians,Hispanic,192,0.71
Natural resources and construction,Construction,Construction and extraction occupations,Glaziers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Insulation workers,Hispanic,25,0.09
Natural resources and construction,Construction,Construction and extraction occupations,"Painters, construction and maintenance",Hispanic,332,1.23
Natural resources and construction,Construction,Construction and extraction occupations,Paperhangers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Pipelayers, plumbers, pipefitters, and steamfitters",Hispanic,172,0.64
Natural resources and construction,Construction,Construction and extraction occupations,Plasterers and stucco masons,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Reinforcing iron and rebar workers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Roofers,Hispanic,112,0.41
Natural resources and construction,Construction,Construction and extraction occupations,Sheet metal workers,Hispanic,40,0.15
Natural resources and construction,Construction,Construction and extraction occupations,Structural iron and steel workers,Hispanic,12,0.04
Natural resources and construction,Construction,Construction and extraction occupations,Solar photovoltaic installers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Helpers, construction trades",Hispanic,17,0.06
Natural resources and construction,Construction,Construction and extraction occupations,Construction and building inspectors,Hispanic,13,0.05
Natural resources and construction,Construction,Construction and extraction occupations,Elevator installers and repairers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Fence erectors,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Hazardous materials removal workers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Highway maintenance workers,Hispanic,15,0.06
Natural resources and construction,Construction,Construction and extraction occupations,Rail-track laying and maintenance equipment operators,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Septic tank servicers and sewer pipe cleaners,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Miscellaneous construction and related workers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Earth drillers, except oil and gas",Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Explosives workers, ordnance handling experts, and blasters",Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Mining machine operators,Hispanic,7,0.03
Natural resources and construction,Construction,Construction and extraction occupations,"Roof bolters, mining",Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,"Roustabouts, oil and gas",Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Helpers--extraction workers,Hispanic,,0
Natural resources and construction,Construction,Construction and extraction occupations,Other extraction workers,Hispanic,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers",White,45,0.04
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Agricultural inspectors,White,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Animal breeders,White,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations","Graders and sorters, agricultural products",White,62,0.05
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Miscellaneous agricultural workers,White,801,0.67
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Fishers and related fishing workers,White,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Hunters and trappers,White,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Forest and conservation workers,White,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Logging workers,White,54,0.05
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",First-line supervisors of construction trades and extraction workers,White,600,0.5
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers",Black,0,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Agricultural inspectors,Black,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Animal breeders,Black,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations","Graders and sorters, agricultural products",Black,18,0.1
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Miscellaneous agricultural workers,Black,22,0.12
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Fishers and related fishing workers,Black,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Hunters and trappers,Black,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Forest and conservation workers,Black,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Logging workers,Black,1,0.01
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",First-line supervisors of construction trades and extraction workers,Black,51,0.27
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers",Asian,0,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Agricultural inspectors,Asian,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Animal breeders,Asian,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations","Graders and sorters, agricultural products",Asian,3,0.03
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Miscellaneous agricultural workers,Asian,10,0.1
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Fishers and related fishing workers,Asian,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Hunters and trappers,Asian,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Forest and conservation workers,Asian,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Logging workers,Asian,1,0.01
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",First-line supervisors of construction trades and extraction workers,Asian,8,0.08
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers",Hispanic,14,0.05
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Agricultural inspectors,Hispanic,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Animal breeders,Hispanic,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations","Graders and sorters, agricultural products",Hispanic,43,0.16
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Miscellaneous agricultural workers,Hispanic,467,1.73
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Fishers and related fishing workers,Hispanic,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Hunters and trappers,Hispanic,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Forest and conservation workers,Hispanic,,0
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",Logging workers,Hispanic,10,0.04
Natural resources and construction,"Farming, fishing, and forestry","Farming, fishing, and forestry occupations",First-line supervisors of construction trades and extraction workers,Hispanic,169,0.63
Service,Food service,Food preparation and serving related occupations,Chefs and head cooks,White,298,0.25
Service,Food service,Food preparation and serving related occupations,First-line supervisors of food preparation and serving workers,White,457,0.38
Service,Food service,Food preparation and serving related occupations,Cooks,White,1429,1.2
Service,Food service,Food preparation and serving related occupations,Food preparation workers,White,793,0.67
Service,Food service,Food preparation and serving related occupations,Bartenders,White,399,0.33
Service,Food service,Food preparation and serving related occupations,"Combined food preparation and serving workers, including fast food",White,261,0.22
Service,Food service,Food preparation and serving related occupations,"Counter attendants, cafeteria, food concession, and coffee shop",White,152,0.13
Service,Food service,Food preparation and serving related occupations,Waiters and waitresses,White,1538,1.29
Service,Food service,Food preparation and serving related occupations,"Food servers, nonrestaurant",White,130,0.11
Service,Food service,Food preparation and serving related occupations,Dining room and cafeteria attendants and bartender helpers,White,260,0.22
Service,Food service,Food preparation and serving related occupations,Dishwashers,White,193,0.16
Service,Food service,Food preparation and serving related occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop",White,249,0.21
Service,Food service,Food preparation and serving related occupations,"Food preparation and serving related workers, all other",White,,0
Service,Food service,Food preparation and serving related occupations,Chefs and head cooks,Black,67,0.36
Service,Food service,Food preparation and serving related occupations,First-line supervisors of food preparation and serving workers,Black,88,0.47
Service,Food service,Food preparation and serving related occupations,Cooks,Black,367,1.95
Service,Food service,Food preparation and serving related occupations,Food preparation workers,Black,142,0.76
Service,Food service,Food preparation and serving related occupations,Bartenders,Black,29,0.15
Service,Food service,Food preparation and serving related occupations,"Combined food preparation and serving workers, including fast food",Black,72,0.38
Service,Food service,Food preparation and serving related occupations,"Counter attendants, cafeteria, food concession, and coffee shop",Black,22,0.12
Service,Food service,Food preparation and serving related occupations,Waiters and waitresses,Black,226,1.2
Service,Food service,Food preparation and serving related occupations,"Food servers, nonrestaurant",Black,36,0.19
Service,Food service,Food preparation and serving related occupations,Dining room and cafeteria attendants and bartender helpers,Black,42,0.22
Service,Food service,Food preparation and serving related occupations,Dishwashers,Black,42,0.22
Service,Food service,Food preparation and serving related occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop",Black,27,0.14
Service,Food service,Food preparation and serving related occupations,"Food preparation and serving related workers, all other",Black,,0
Service,Food service,Food preparation and serving related occupations,Chefs and head cooks,Asian,77,0.78
Service,Food service,Food preparation and serving related occupations,First-line supervisors of food preparation and serving workers,Asian,28,0.29
Service,Food service,Food preparation and serving related occupations,Cooks,Asian,125,1.27
Service,Food service,Food preparation and serving related occupations,Food preparation workers,Asian,89,0.91
Service,Food service,Food preparation and serving related occupations,Bartenders,Asian,12,0.12
Service,Food service,Food preparation and serving related occupations,"Combined food preparation and serving workers, including fast food",Asian,20,0.2
Service,Food service,Food preparation and serving related occupations,"Counter attendants, cafeteria, food concession, and coffee shop",Asian,10,0.1
Service,Food service,Food preparation and serving related occupations,Waiters and waitresses,Asian,154,1.57
Service,Food service,Food preparation and serving related occupations,"Food servers, nonrestaurant",Asian,12,0.12
Service,Food service,Food preparation and serving related occupations,Dining room and cafeteria attendants and bartender helpers,Asian,20,0.2
Service,Food service,Food preparation and serving related occupations,Dishwashers,Asian,11,0.11
Service,Food service,Food preparation and serving related occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop",Asian,12,0.12
Service,Food service,Food preparation and serving related occupations,"Food preparation and serving related workers, all other",Asian,,0
Service,Food service,Food preparation and serving related occupations,Chefs and head cooks,Hispanic,123,0.46
Service,Food service,Food preparation and serving related occupations,First-line supervisors of food preparation and serving workers,Hispanic,134,0.5
Service,Food service,Food preparation and serving related occupations,Cooks,Hispanic,745,2.76
Service,Food service,Food preparation and serving related occupations,Food preparation workers,Hispanic,303,1.12
Service,Food service,Food preparation and serving related occupations,Bartenders,Hispanic,76,0.28
Service,Food service,Food preparation and serving related occupations,"Combined food preparation and serving workers, including fast food",Hispanic,74,0.27
Service,Food service,Food preparation and serving related occupations,"Counter attendants, cafeteria, food concession, and coffee shop",Hispanic,37,0.14
Service,Food service,Food preparation and serving related occupations,Waiters and waitresses,Hispanic,476,1.76
Service,Food service,Food preparation and serving related occupations,"Food servers, nonrestaurant",Hispanic,41,0.15
Service,Food service,Food preparation and serving related occupations,Dining room and cafeteria attendants and bartender helpers,Hispanic,115,0.43
Service,Food service,Food preparation and serving related occupations,Dishwashers,Hispanic,76,0.28
Service,Food service,Food preparation and serving related occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop",Hispanic,56,0.21
Service,Food service,Food preparation and serving related occupations,"Food preparation and serving related workers, all other",Hispanic,,0
Service,Healthcare support,Healthcare support occupations,"Nursing, psychiatric, and home health aides",White,1132,0.95
Service,Healthcare support,Healthcare support occupations,Occupational therapy assistants and aides,White,,0
Service,Healthcare support,Healthcare support occupations,Physical therapist assistants and aides,White,84,0.07
Service,Healthcare support,Healthcare support occupations,Massage therapists,White,132,0.11
Service,Healthcare support,Healthcare support occupations,Dental assistants,White,242,0.2
Service,Healthcare support,Healthcare support occupations,Medical assistants,White,447,0.38
Service,Healthcare support,Healthcare support occupations,Medical transcriptionists,White,,0
Service,Healthcare support,Healthcare support occupations,Pharmacy aides,White,,0
Service,Healthcare support,Healthcare support occupations,Veterinary assistants and laboratory animal caretakers,White,57,0.05
Service,Healthcare support,Healthcare support occupations,Phlebotomists,White,87,0.07
Service,Healthcare support,Healthcare support occupations,"Miscellaneous healthcare support occupations, including medical equipment preparers",White,133,0.11
Service,Healthcare support,Healthcare support occupations,"Nursing, psychiatric, and home health aides",Black,775,4.13
Service,Healthcare support,Healthcare support occupations,Occupational therapy assistants and aides,Black,,0
Service,Healthcare support,Healthcare support occupations,Physical therapist assistants and aides,Black,6,0.03
Service,Healthcare support,Healthcare support occupations,Massage therapists,Black,16,0.09
Service,Healthcare support,Healthcare support occupations,Dental assistants,Black,19,0.1
Service,Healthcare support,Healthcare support occupations,Medical assistants,Black,91,0.48
Service,Healthcare support,Healthcare support occupations,Medical transcriptionists,Black,,0
Service,Healthcare support,Healthcare support occupations,Pharmacy aides,Black,,0
Service,Healthcare support,Healthcare support occupations,Veterinary assistants and laboratory animal caretakers,Black,1,0.01
Service,Healthcare support,Healthcare support occupations,Phlebotomists,Black,30,0.16
Service,Healthcare support,Healthcare support occupations,"Miscellaneous healthcare support occupations, including medical equipment preparers",Black,52,0.28
Service,Healthcare support,Healthcare support occupations,"Nursing, psychiatric, and home health aides",Asian,91,0.93
